[2024-03-04 12:25:28.825]	     | From https://github.com/omerxx/tmux-sessionx
[2024-03-04 12:25:28.825]	     |  * branch            HEAD       -> FETCH_HEAD
[2024-03-04 12:25:28.825]	     | error: The following untracked working tree files would be overwritten by merge:
[2024-03-04 12:25:28.825]	     | 	.gitignore
[2024-03-04 12:25:28.825]	     | 	LICENSE
[2024-03-04 12:25:28.825]	     | 	README.md
[2024-03-04 12:25:28.825]	     | 	flake.lock
[2024-03-04 12:25:28.825]	     | 	flake.nix
[2024-03-04 12:25:28.825]	     | 	img/sessionxv2.png
[2024-03-04 12:25:28.825]	     | 	scripts/preview.sh
[2024-03-04 12:25:28.825]	     | 	scripts/reload_sessions.sh
[2024-03-04 12:25:28.825]	     | 	scripts/sessionx.sh
[2024-03-04 12:25:28.825]	     | 	sessionx.tmux
[2024-03-04 12:25:28.825]	     | Please move or remove them before you merge.
[2024-03-04 12:25:28.825]	     | Aborting
[2024-03-04 12:25:28.834]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:25:28.859]	 Done.

[2024-03-04 12:25:28.613]	 Updating all plugins!
[2024-03-04 12:25:28.613]	 
[2024-03-04 12:25:29.275]	   "tmux-sessionx" update success
[2024-03-04 12:25:29.276]	     | Already up to date.
[2024-03-04 12:25:29.287]	   "tmux-sensible" update success
[2024-03-04 12:25:29.288]	     | Already up to date.
[2024-03-04 12:25:29.299]	   "tpm" update success
[2024-03-04 12:25:29.301]	     | Already up to date.
[2024-03-04 12:25:29.313]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-03-04 12:25:29.330]	 Removing "tmux-sensible"
[2024-03-04 12:25:29.331]	   "tmux-sensible" clean success
[2024-03-04 12:25:29.332]	 Removing "tmux-sessionx"
[2024-03-04 12:25:29.334]	   "tmux-sessionx" clean success
[2024-03-04 12:25:29.346]	 Done.

[2024-03-04 12:26:46.403]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:26:46.427]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:26:46.548]	 List of discovered tpm plugins: tmux-plugins/tpm tmux-plugins/tmux-sensible omerxx/tmux-sessionx
[2024-03-04 12:26:46.559]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/install_plugins
[2024-03-04 12:26:46.581]	 Already installed "tpm"
[2024-03-04 12:26:46.581]	 Already installed "tmux-sensible"
[2024-03-04 12:26:46.581]	 Already installed "tmux-sessionx"
[2024-03-04 12:26:46.592]	 Invoking /home/chris/.config/tmux/plugins//tpm/bin/update_plugins all
